line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
L-001,2026-03-31,"CHARGES FOR 2, OUTWARD SEPA PAYMENT",-0.44,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,rule,RULE-008,v1,,SRC-PDF-E54A9C7D-P1,"4 20,088.32 17:46 31 Mar 2026 Narrative CHARGES FOR 2, OUTWARD SEPA PAYMENT 10716RS62GWQ CEPHALUS TRF TFR- 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-002,2026-03-31,"NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHASE 100PER OF ACC INT, IN CEPHALUS BIOGAS 001 LTD PREMIUM, ACCRUED INTEREST PROJECT CEPHALUS",-301908.7,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-001,SRC-PDF-E54A9C7D-P1,"0 20,088.76 11:01 31 Mar 2026 Narrative NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHASE 100PER OF ACC INT, IN CEPHALUS BIOGAS 001 LTD PREMIUM, ACCRUED INTEREST PROJECT CEPHALUS 85720JS23WNK CEPHALUS TRF TFR- 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-003,2026-03-31,"NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARES IN, CEPHALUS BIOGAS 001 LTD REL TOTAL, PREMIUM (EQUITY) PROJECT CEPHALUS)",-2013809.89,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-002,SRC-PDF-E54A9C7D-P1,"321,997.46 11:01 31 Mar 2026 Narrative NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARES IN, CEPHALUS BIOGAS 001 LTD REL TOTAL, PREMIUM (EQUITY) PROJECT CEPHALUS) 24381JR11YY3 CEPHALUS TRF TFR- 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-004,2026-03-31,"NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHAS 100PER OF LOAN, PRINCIP IN CEPHALUS BIOGAS 001 LTD, TOTAL COST LOAN PROJECT CEPHALUS",-4232000.0,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-003,SRC-PDF-E54A9C7D-P1,",335,807.35 11:01 31 Mar 2026 Narrative NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHAS 100PER OF LOAN, PRINCIP IN CEPHALUS BIOGAS 001 LTD, TOTAL COST LOAN PROJECT CEPHALUS WQX04328RE10ADP4 NONREF TFR+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-005,2026-03-31,"NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL TRANSFER, CHARGE WAIVED",6550000.0,EUR,Internal,OVERHEAD,,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-004,SRC-PDF-E54A9C7D-P1,",567,807.35 10:58 31 Mar 2026 Narrative NORDVIK INFRASTRUCTURE ADVANCED, TFR+ INTERNAL TRANSFER, CHARGE WAIVED WW43092242598430 29000231,84819265 SCT",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-006,2026-03-31,"29000231,84819265, NIP PLATFORM SOLUTIONS APS",-1041.13,EUR,Related Party,NIP Platform Solutions ApS,NIP PLATFORM SOLUTIONS APS,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,rule,RULE-206,v1,,SRC-PDF-E54A9C7D-P1,"3 17,807.35 10:18 31 Mar 2026 Narrative 29000231,84819265, NIP PLATFORM SOLUTIONS APS YP03586039037340 52443473437109-4000 05",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-007,2026-03-31,"52443473437109-3528152584, TRENTBECK AUDIT LUXEMBOURG",-5085.23,EUR,Vendor,Flag for review - no project match,Trentbeck Audit - Lu,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-005,SRC-PDF-E54A9C7D-P1,"3 18,848.48 10:18 31 Mar 2026 Narrative 52443473437109-3528152584, TRENTBECK AUDIT LUXEMBOURG 01 Apr 2026 | Account number 240-149813",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-008,2026-03-31,"NI ABF I SCSP, OBO PMT FRM NI ABF II SCSP ON BEHALF OF NI ABF II CO-INVEST SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY",-1.62,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-006,SRC-PDF-EBB0369A-P2,"2 23,933.71 23:04 31 Mar 2026 Narrative NI ABF I SCSP, OBO PMT FRM NI ABF II SCSP ON BEHALF OF NI ABF II CO-INVEST SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY 85202DA174BN CEPHALUS TRF TFR- 31 Mar 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-009,2026-03-31,"NI ABF I SCSP, OBO PMT FRM NI ABF II SCSP ON BEHALF OF NI ABF II QFPF BLOC. SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY",-1.62,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-007,SRC-PDF-EBB0369A-P2,"2 23,935.33 23:04 31 Mar 2026 Narrative NI ABF I SCSP, OBO PMT FRM NI ABF II SCSP ON BEHALF OF NI ABF II QFPF BLOC. SCSP, TO NI ABF I SCSP FOR ACQ OF 1 SHARE, IN CEPHALUS BIOGAS 001 LTD (EQUITY 26623WD49U68 CEPHALUS TRF TFR- 31 Mar 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-010,2026-03-31,"NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARE IN, CEPHALUS BIOGAS 001 LTD REL COST (EQUITY) (PROJECT CEPHALUS)",-46272.93,EUR,Investment Transfer,Cephalus,NI ABF I SCSp,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,,240-149813-030,NI ABF II - Calder - EUR - 8102,decision,,,DEC-008,SRC-PDF-EBB0369A-P2,"3 23,936.95 23:04 31 Mar 2026 Narrative NI ABF I SCSP, PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARE IN, CEPHALUS BIOGAS 001 LTD REL COST (EQUITY) (PROJECT CEPHALUS) 41377TZ050XC MIZARCO TRF TFR- 25 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
