line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
GL-0001,2026-06-30,10010 - Cash · Cash Paid,-457213.59,EUR,Cash FX gains / losses,,,2100,10000,,,rule,RULE-COA-008,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10010 - Cash | Cash Paid | 71 GL rows | Dr 0.00 Cr 457,213.59 EUR","{'sheet': 'Investor-Level GL', 'row': 27008}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0002,2026-06-30,10010 - Cash · Cash Received,650214.77,EUR,Cash FX gains / losses,,,2100,10000,,,rule,RULE-COA-007,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10010 - Cash | Cash Received | 24 GL rows | Dr 650,214.77 Cr 0.00 EUR","{'sheet': 'Investor-Level GL', 'row': 27162}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0003,2026-06-30,10010 - Cash · Transfer between bank accounts,0.0,EUR,Cash received,,,2100,10000,,,rule,RULE-COA-009,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10010 - Cash | Transfer between bank accounts | 24 GL rows | Dr 650,000.00 Cr 650,000.00 EUR","{'sheet': 'Investor-Level GL', 'row': 27044}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0004,2026-06-30,10020 - Investment Interest Receivable · Receivable: Investment Interest,412230.34,EUR,Receivable: PIK Interest acquired,,,2100,10016,,,rule,RULE-COA-011,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10020 - Investment Interest Receivable | Receivable: Investment Interest | 24 GL rows | Dr 2,432,068.88 Cr 2,019,838.54 EUR","{'sheet': 'Investor-Level GL', 'row': 27402}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0005,2026-06-30,10120 - Capital Calls Receivable · Receivable: Capital Calls,-650000.0,EUR,Call receivable,,,2100,10015,,,rule,RULE-COA-015,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10120 - Capital Calls Receivable | Receivable: Capital Calls | 12 GL rows | Dr 0.00 Cr 650,000.00 EUR","{'sheet': 'Investor-Level GL', 'row': 27198}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0006,2026-06-30,10170 - Investments Appreciation/(Depreciation) · Investment: Unrealised Appreciation/(Depreciation),498702.37,EUR,Investment - Equity - Unrealized appreciation,,,2100,10040,,,rule,RULE-COA-027,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 10170 - Investments Appreciation/(Depreciation) | Investment: Unrealised Appreciation/(Depreciation) | 48 GL rows | Dr 249,993,194.60 Cr 249,494,492.23 EUR","{'sheet': 'Investor-Level GL', 'row': 27342}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0007,2026-06-30,20020 - Accruals · Accruals: Expenses,-166.96,EUR,Accrued Expenses,,,2100,20030,,,rule,RULE-COA-034,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 20020 - Accruals | Accruals: Expenses | 24 GL rows | Dr 11,724.13 Cr 11,891.09 EUR","{'sheet': 'Investor-Level GL', 'row': 27210}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0008,2026-06-30,20030 - General Partner Share Payable · Payable: General Partner Share,-25.0,EUR,Management fees payable,,,2100,20015,,,rule,RULE-COA-037,v4c,,SRC-XLS-E80F1CD6,Ashcombe Co-Invest L.P. | 20030 - General Partner Share Payable | Payable: General Partner Share | 24 GL rows | Dr 67.00 Cr 92.00 EUR,"{'sheet': 'Investor-Level GL', 'row': 27282}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0009,2026-06-30,30040 - Income Attributed to GP re GP Share · General Partner Share Paid,25.0,EUR,Expense: General Partner Profit Share,,,2100,50010,,,rule,RULE-COA-058,v4c,,SRC-XLS-E80F1CD6,Ashcombe Co-Invest L.P. | 30040 - Income Attributed to GP re GP Share | General Partner Share Paid | 24 GL rows | Dr 92.00 Cr 67.00 EUR,"{'sheet': 'Investor-Level GL', 'row': 27294}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0010,2026-06-30,40010 - Realised Gain/(Loss) - Formation Fees · Realised Gain/(Loss): Loss on Formation Fees,450000.0,EUR,Realised Loss: Investments,,,2100,40060,,,rule,RULE-COA-072,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 40010 - Realised Gain/(Loss) - Formation Fees | Realised Gain/(Loss): Loss on Formation Fees | 12 GL rows | Dr 450,000.00 Cr 0.00 EUR","{'sheet': 'Investor-Level GL', 'row': 27068}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
GL-0011,2026-06-30,40030 - Unrealised Gain/(Loss) - Investments · Unrealised Gain/(Loss):  Gain on Investments,-498702.37,EUR,Unrealised Gain: Investments,,,2100,40066,,,rule,RULE-COA-073,v4c,,SRC-XLS-E80F1CD6,"Ashcombe Co-Invest L.P. | 40030 - Unrealised Gain/(Loss) - Investments | Unrealised Gain/(Loss):  Gain on Investments | 48 GL rows | Dr 249,494,492.23 Cr 249,993,194.60 EUR","{'sheet': 'Investor-Level GL', 'row': 27330}",CLOSE-2026-Q2-KESTREL-GL-LOADER,validated_mapping_csv_v1
